,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating,valid_rating,label,cleaned_review,combined_review,date,covid,year,stem_review,lem_review
1159,Vivekrajanand,Quiet heritage feel hotel near little India ,"This hotel is 100 m from Rochor station and 250 m from Little India. It he heritage structure for the reception and rooms which gets attached to an 8 storey building facing the road. The promenade has North Indian, Italian, Chinese cuisine with drinks and beer. It has salon and a wine bar too. The hotel itself offers european buffet breakfast. It is clean, good mattress and a tub. Has a gym, bar and jacuzzi. The staff are helpful and polite. The reception is on the side road and guests can access through main road (Bulkit Timah road) using room access card. Little India arcade is just across the road. Mustafa is about 700 m. Little India has purple and blue line and hence you can go to any part of Sg. Taxi bay is near both the stations and one outside Albert road near the",,"Bengaluru, India",530.0,29.0,5.0,True,Positive,quiet heritage feel hotel near little india hotel rochor station little india heritage structure reception rooms gets attached storey building facing road promenade north indian italian chinese cuisine drinks beer salon wine bar hotel offers european buffet breakfast clean good mattress tub gym bar jacuzzi staff helpful polite reception side road guests access main road bulkit timah road using room access card little india arcade across road mustafa little india purple blue line hence go part sg taxi bay near stations one outside albert road near,"Quiet heritage feel hotel near little India  This hotel is 100 m from Rochor station and 250 m from Little India. It he heritage structure for the reception and rooms which gets attached to an 8 storey building facing the road. The promenade has North Indian, Italian, Chinese cuisine with drinks and beer. It has salon and a wine bar too. The hotel itself offers european buffet breakfast. It is clean, good mattress and a tub. Has a gym, bar and jacuzzi. The staff are helpful and polite. The reception is on the side road and guests can access through main road (Bulkit Timah road) using room access card. Little India arcade is just across the road. Mustafa is about 700 m. Little India has purple and blue line and hence you can go to any part of Sg. Taxi bay is near both the stations and one outside Albert road near the",2017-09-01,PreCovid,2017,quiet heritag feel hotel near littl india hotel rochor station littl india heritag structur recept room get attach storey build face road promenad north indian italian chines cuisin drink beer salon wine bar hotel offer european buffet breakfast clean good mattress tub gym bar jacuzzi staff help polit recept side road guest access main road bulkit timah road use room access card littl india arcad across road mustafa littl india purpl blue line henc go part sg taxi bay near station one outsid albert road near,quiet heritage feel hotel near little india hotel rochor station little india heritage structure reception room get attach storey building face road promenade north indian italian chinese cuisine drink beer salon wine bar hotel offer european buffet breakfast clean good mattress tub gym bar jacuzzi staff helpful polite reception side road guest access main road bulkit timah road use room access card little india arcade across road mustafa little india purple blue line hence go part sg taxi bay near station one outside albert road near
1160,dkhcz,Convenient,We flew into a Jakarta at midnight and had to depart the next morning at 7 am for a domestic flight.  The hotel shuttle met us in a timely fashion and were able to have a decent breakfast before leaving.  The hotel was clean and conveniently locates. ,,Denver,16.0,5.0,4.0,True,Positive,convenient flew jakarta midnight depart next morning domestic flight hotel shuttle met us timely fashion able decent breakfast leaving hotel clean conveniently locates,Convenient We flew into a Jakarta at midnight and had to depart the next morning at 7 am for a domestic flight.  The hotel shuttle met us in a timely fashion and were able to have a decent breakfast before leaving.  The hotel was clean and conveniently locates. ,2017-09-01,PreCovid,2017,conveni flew jakarta midnight depart next morn domest flight hotel shuttl met us time fashion abl decent breakfast leav hotel clean conveni locat,convenient flew jakarta midnight depart next morning domestic flight hotel shuttle meet we timely fashion able decent breakfast leave hotel clean conveniently locate
1161,chrisB7704YN,Great experience,"Stayed here for a conference. Staff were helpful in getting an early check-in and in organizing transportation to the airport at 3am. Buffet breakfasts were excellent. Small, quiet gym was great for a morning workout. Clean room.",,,1.0,,5.0,True,Positive,great experience stayed conference staff helpful getting early check organizing transportation airport buffet breakfasts excellent small quiet gym great morning workout clean room,"Great experience Stayed here for a conference. Staff were helpful in getting an early check-in and in organizing transportation to the airport at 3am. Buffet breakfasts were excellent. Small, quiet gym was great for a morning workout. Clean room.",2017-09-01,PreCovid,2017,great experi stay confer staff help get earli check organ transport airport buffet breakfast excel small quiet gym great morn workout clean room,great experience stay conference staff helpful get early check organize transportation airport buffet breakfast excellent small quiet gym great morning workout clean room
1162,josephinel128,"average service, not properly cleaned rooms, etc",Hi.  I gave my review in the previous section. Kindly check on that.  1. room with trash before our check-in 2. substandard room.  we were initially given a room with a post inside and a room with no view 3.  Dirt outside not cleaned,,"Manila, Philippines",1.0,,3.0,True,Neutral,average service properly cleaned rooms etc hi gave review previous section kindly check room trash check substandard room initially given room post inside room view dirt outside cleaned,"average service, not properly cleaned rooms, etc Hi.  I gave my review in the previous section. Kindly check on that.  1. room with trash before our check-in 2. substandard room.  we were initially given a room with a post inside and a room with no view 3.  Dirt outside not cleaned",2017-09-01,PreCovid,2017,averag servic properli clean room etc hi gave review previou section kindli check room trash check substandard room initi given room post insid room view dirt outsid clean,average service properly clean room etc hi give review previous section kindly check room trash check substandard room initially give room post inside room view dirt outside clean
1163,merediana2017,Fantastic,Beautiful yet eccentric hotel and if my financial capital allows me I will certainly come back to this hotel. The old European Singapore interior was captivating. Love this hotel so much as love the brekky.,,,1.0,,5.0,True,Positive,fantastic beautiful yet eccentric hotel financial capital allows certainly come back hotel old european singapore interior captivating love hotel much love brekky,Fantastic Beautiful yet eccentric hotel and if my financial capital allows me I will certainly come back to this hotel. The old European Singapore interior was captivating. Love this hotel so much as love the brekky.,2017-09-01,PreCovid,2017,fantast beauti yet eccentr hotel financi capit allow certainli come back hotel old european singapor interior captiv love hotel much love brekki,fantastic beautiful yet eccentric hotel financial capital allow certainly come back hotel old european singapore interior captivate love hotel much love brekky
1164,Geni7,Basic but with nice architecture,"Ok hotel near Little India and Bugis Street but certainly priced high for its offering.  The Reception staff were good. Dining room staff were excellent but the breakfasts were very ordinary.  Rooms were basic (and I'm talking about the Club rooms here - hate to think about how basic the normal rooms were).  Singapore has become very expensive so prices can be expected to be on the high side - especially during prime time like the grand prix but the hotel is over rated and over priced.  The outside appearance is attractive in the old colonial style - enjoy the looks.  Pillows are so huge that you can't sleep - there are no pillow menus and the response from management is that that the pillow are all ""standard"" - go down the road to the shops and buy a cheap pillow of your",,Perth Western Australia,280.0,150.0,3.0,True,Neutral,basic nice architecture ok hotel near little india bugis street certainly priced high offering reception staff good dining room staff excellent breakfasts ordinary rooms basic talking club rooms hate think basic normal rooms singapore become expensive prices expected high side especially prime time like grand prix hotel rated priced outside appearance attractive old colonial style enjoy looks pillows huge sleep pillow menus response management pillow standard go road shops buy cheap pillow,"Basic but with nice architecture Ok hotel near Little India and Bugis Street but certainly priced high for its offering.  The Reception staff were good. Dining room staff were excellent but the breakfasts were very ordinary.  Rooms were basic (and I'm talking about the Club rooms here - hate to think about how basic the normal rooms were).  Singapore has become very expensive so prices can be expected to be on the high side - especially during prime time like the grand prix but the hotel is over rated and over priced.  The outside appearance is attractive in the old colonial style - enjoy the looks.  Pillows are so huge that you can't sleep - there are no pillow menus and the response from management is that that the pillow are all ""standard"" - go down the road to the shops and buy a cheap pillow of your",2017-09-01,PreCovid,2017,basic nice architectur ok hotel near littl india bugi street certainli price high offer recept staff good dine room staff excel breakfast ordinari room basic talk club room hate think basic normal room singapor becom expens price expect high side especi prime time like grand prix hotel rate price outsid appear attract old coloni style enjoy look pillow huge sleep pillow menu respons manag pillow standard go road shop buy cheap pillow,basic nice architecture ok hotel near little india bugis street certainly price high offer reception staff good dining room staff excellent breakfast ordinary room basic talk club room hate think basic normal room singapore become expensive price expect high side especially prime time like grand prix hotel rate price outside appearance attractive old colonial style enjoy look pillow huge sleep pillow menus response management pillow standard go road shop buy cheap pillow
1165,Carol F,Village hotel Albert court,Had a lovely view of little India from our room not too far from MTR station which is fairly simple and cheap to use we used visitors 3 daypass and local shops local people very friendly nearby restaurants ,,"Braintree, United Kingdom",3.0,1.0,5.0,True,Positive,village hotel albert court lovely view little india room far mtr station fairly simple cheap use used visitors daypass local shops local people friendly nearby restaurants,Village hotel Albert court Had a lovely view of little India from our room not too far from MTR station which is fairly simple and cheap to use we used visitors 3 daypass and local shops local people very friendly nearby restaurants ,2017-09-01,PreCovid,2017,villag hotel albert court love view littl india room far mtr station fairli simpl cheap use use visitor daypass local shop local peopl friendli nearbi restaur,village hotel albert court lovely view little india room far mtr station fairly simple cheap use use visitor daypass local shop local people friendly nearby restaurant
1166,cheyanne,Everything is just perfect,Perfect weekend stay. Not too far from the busy shopping area but yet quiet. Not other facilities in the hotel but the unique structure of the building is not common and there are a number of restaurants just a few seconds walk from the lobby.,,"Singapore, Singapore",6.0,2.0,5.0,True,Positive,everything perfect perfect weekend stay far busy shopping area yet quiet facilities hotel unique structure building common number restaurants seconds walk lobby,Everything is just perfect Perfect weekend stay. Not too far from the busy shopping area but yet quiet. Not other facilities in the hotel but the unique structure of the building is not common and there are a number of restaurants just a few seconds walk from the lobby.,2017-09-01,PreCovid,2017,everyth perfect perfect weekend stay far busi shop area yet quiet facil hotel uniqu structur build common number restaur second walk lobbi,everything perfect perfect weekend stay far busy shopping area yet quiet facility hotel unique structure build common number restaurant second walk lobby
1167,Chathura Roshan LG,Average,"Average. Room was spacious and comfy. Food in the restaurant was pretty average and it gets crowded as hell during rush hour. You may have to wander around the restaurant holding your plate, to get a seat! Staff is not the friendliest. They almost kicked us out on the checkout date urging us to pack up and leave ASAP.  !! No bidet showers in the bathrooms! (in case you are one of us who expects one!)  Definitely not the best place for the price, as I have experience at other places in Singapore.",,"Melbourne, Australia",22.0,2.0,3.0,True,Neutral,average average room spacious comfy food restaurant pretty average gets crowded hell rush hour may wander around restaurant holding plate get seat staff friendliest almost kicked us checkout date urging us pack leave asap bidet showers bathrooms case one us expects one definitely best place price experience places singapore,"Average Average. Room was spacious and comfy. Food in the restaurant was pretty average and it gets crowded as hell during rush hour. You may have to wander around the restaurant holding your plate, to get a seat! Staff is not the friendliest. They almost kicked us out on the checkout date urging us to pack up and leave ASAP.  !! No bidet showers in the bathrooms! (in case you are one of us who expects one!)  Definitely not the best place for the price, as I have experience at other places in Singapore.",2016-12-01,PreCovid,2016,averag averag room spaciou comfi food restaur pretti averag get crowd hell rush hour may wander around restaur hold plate get seat staff friendliest almost kick us checkout date urg us pack leav asap bidet shower bathroom case one us expect one definit best place price experi place singapor,average average room spacious comfy food restaurant pretty average get crowd hell rush hour may wander around restaurant hold plate get seat staff friendliest almost kick we checkout date urge we pack leave asap bidet shower bathroom case one we expect one definitely good place price experience place singapore
1168,Shuftzi,"Outstanding service, great money spent, wonderful location","Spent 5 nights there with a two-years old, and we all had great time. Staff is super efficient and friendly, breakfast is good, very close to 2 MRT stations (5 minutes walking), very close to the wonderful Bugis Junction. No swimming pool or other family facilities, but they are not required as you have entire Singapore waiting outside for you...",,"Tel Aviv, Israel",3.0,2.0,5.0,True,Positive,outstanding service great money spent wonderful location spent nights two years old great time staff super efficient friendly breakfast good close mrt stations minutes walking close wonderful bugis junction swimming pool family facilities required entire singapore waiting outside,"Outstanding service, great money spent, wonderful location Spent 5 nights there with a two-years old, and we all had great time. Staff is super efficient and friendly, breakfast is good, very close to 2 MRT stations (5 minutes walking), very close to the wonderful Bugis Junction. No swimming pool or other family facilities, but they are not required as you have entire Singapore waiting outside for you...",2017-09-01,PreCovid,2017,outstand servic great money spent wonder locat spent night two year old great time staff super effici friendli breakfast good close mrt station minut walk close wonder bugi junction swim pool famili facil requir entir singapor wait outsid,outstanding service great money spend wonderful location spend night two year old great time staff super efficient friendly breakfast good close mrt station minute walk close wonderful bugis junction swimming pool family facility require entire singapore wait outside
1169,Dotty_813,Nice hotel in a good location,"I booked with  hotel direct for a stopover, taking a club option, as they offered the best price/package, and also to take advantage of the later check out and other benefits. I arrived there early, missus my checked  luggage ...which was still at my departure point. The staff were very helpful and accommodating.  I like the style of this hotel as its not the usual high rise. For solo travellers I felt quite safe and its is located within a few minutes walk of two MRTs. I have  to mention two of the front office staff ..Jasmine Amd Aqliah, they were both wonderful. Wouldn't hesitate to stay there again.",,"Willow Vale, Australia",34.0,54.0,5.0,True,Positive,nice hotel good location booked hotel direct stopover taking club option offered best price package also take advantage later check benefits arrived early missus checked luggage still departure point staff helpful accommodating like style hotel usual high rise solo travellers felt quite safe located within minutes walk two mrts mention two front office staff jasmine amd aqliah wonderful hesitate stay,"Nice hotel in a good location I booked with  hotel direct for a stopover, taking a club option, as they offered the best price/package, and also to take advantage of the later check out and other benefits. I arrived there early, missus my checked  luggage ...which was still at my departure point. The staff were very helpful and accommodating.  I like the style of this hotel as its not the usual high rise. For solo travellers I felt quite safe and its is located within a few minutes walk of two MRTs. I have  to mention two of the front office staff ..Jasmine Amd Aqliah, they were both wonderful. Wouldn't hesitate to stay there again.",2017-09-01,PreCovid,2017,nice hotel good locat book hotel direct stopov take club option offer best price packag also take advantag later check benefit arriv earli missu check luggag still departur point staff help accommod like style hotel usual high rise solo travel felt quit safe locat within minut walk two mrt mention two front offic staff jasmin amd aqliah wonder hesit stay,nice hotel good location book hotel direct stopover take club option offer good price package also take advantage later check benefit arrive early missus check luggage still departure point staff helpful accommodate like style hotel usual high rise solo traveller feel quite safe locate within minute walk two mrt mention two front office staff jasmine amd aqliah wonderful hesitate stay
1170,nefertari1313,Excellent location,"This hotel has excellent location. Just around the corner is little India and it is near MRT station. Staff is friendly and helpfull. Hotel rooms are nice, clean and calm. Breakfast is okay if you do not expect too much.",,"Maribor, Slovenia",275.0,83.0,4.0,True,Positive,excellent location hotel excellent location around corner little india near mrt station staff friendly helpfull hotel rooms nice clean calm breakfast okay expect much,"Excellent location This hotel has excellent location. Just around the corner is little India and it is near MRT station. Staff is friendly and helpfull. Hotel rooms are nice, clean and calm. Breakfast is okay if you do not expect too much.",2017-09-01,PreCovid,2017,excel locat hotel excel locat around corner littl india near mrt station staff friendli helpful hotel room nice clean calm breakfast okay expect much,excellent location hotel excellent location around corner little india near mrt station staff friendly helpfull hotel room nice clean calm breakfast okay expect much
1171,Ruth H,Good location close to MRT and Little India,"Good value stay in a well located hotel.  Staff very friendly and efficient.  Albert Court restaurants and bars  close and good value. Quiet location as we had a room at  the front with no passing traffic, not sure if rear rooms would be quiet. Good value breakfast",,"Shropshire, United Kingdom",52.0,32.0,4.0,True,Positive,good location close mrt little india good value stay well located hotel staff friendly efficient albert court restaurants bars close good value quiet location room front passing traffic sure rear rooms would quiet good value breakfast,"Good location close to MRT and Little India Good value stay in a well located hotel.  Staff very friendly and efficient.  Albert Court restaurants and bars  close and good value. Quiet location as we had a room at  the front with no passing traffic, not sure if rear rooms would be quiet. Good value breakfast",2017-09-01,PreCovid,2017,good locat close mrt littl india good valu stay well locat hotel staff friendli effici albert court restaur bar close good valu quiet locat room front pass traffic sure rear room would quiet good valu breakfast,good location close mrt little india good value stay well locate hotel staff friendly efficient albert court restaurant bar close good value quiet location room front pass traffic sure rear room would quiet good value breakfast
1172,Malhaddad56,Vacation,The room was very small and the bed was very small also and the fridge was not working. The location of the hotel was really good because there is an mrt station right next to it 3 mins walking only and some shopping close by aswell.,,"Kuwait City, Kuwait",1.0,,3.0,True,Neutral,vacation room small bed small also fridge working location hotel really good mrt station right next mins walking shopping close aswell,Vacation The room was very small and the bed was very small also and the fridge was not working. The location of the hotel was really good because there is an mrt station right next to it 3 mins walking only and some shopping close by aswell.,2017-09-01,PreCovid,2017,vacat room small bed small also fridg work locat hotel realli good mrt station right next min walk shop close aswel,vacation room small bed small also fridge work location hotel really good mrt station right next min walk shop close aswell
1173,Buky17,Customer service ...... ,We stayed here on our way back from Bali .... The breakfast was alright but not a great variety to chose from . The ladies in the restaurant where we had breakfast never smiled or greeted you they were both stony faced throughout our stay and sometimes just took away the plates without asking whether or not you'd finished eating !!!  The only friendly people were the chef (who cooked the eggs .. )and the guy who cleaned our room...  Apart from that it was just ok but I wouldn't come back again !!! ,,"Witham, United Kingdom",33.0,13.0,3.0,True,Neutral,customer service stayed way back bali breakfast alright great variety chose ladies restaurant breakfast never smiled greeted stony faced throughout stay sometimes took away plates without asking whether finished eating friendly people chef cooked eggs guy cleaned room apart ok come back,Customer service ......  We stayed here on our way back from Bali .... The breakfast was alright but not a great variety to chose from . The ladies in the restaurant where we had breakfast never smiled or greeted you they were both stony faced throughout our stay and sometimes just took away the plates without asking whether or not you'd finished eating !!!  The only friendly people were the chef (who cooked the eggs .. )and the guy who cleaned our room...  Apart from that it was just ok but I wouldn't come back again !!! ,2017-06-01,PreCovid,2017,custom servic stay way back bali breakfast alright great varieti chose ladi restaur breakfast never smile greet stoni face throughout stay sometim took away plate without ask whether finish eat friendli peopl chef cook egg guy clean room apart ok come back,customer service stay way back bali breakfast alright great variety choose lady restaurant breakfast never smile greet stony face throughout stay sometimes take away plate without ask whether finish eat friendly people chef cook eggs guy clean room apart ok come back
1174,Linda R,Excellent value hotel in Singapore ,My first visit to Singapore and this hotel was very good! It's central location made it easy to get around being close to 2 stations.  Rooms were clean and comfortable with nice tv and bathroom and tea/coffee tray  Staff very helpful and pleasant and breakfast was good/ best to book breakfast with your stay. Little India is very close and Chinatown Also just pop in mrt which is reasonably priced train system. Stations are very clean and safe and trains run until about 11pm.  Taxis are more expensive after 4.30pm do be aware of that. The food court in Chinatown is good place to eat on a budget and Clarke Quay had lots of lovely bars and restaurants which are not too expensive at night there is also vibrant night life there!  You can take a boat trip which was lovely at night -,,,44.0,13.0,5.0,True,Positive,excellent value hotel singapore first visit singapore hotel good central location made easy get around close stations rooms clean comfortable nice tv bathroom tea coffee tray staff helpful pleasant breakfast good best book breakfast stay little india close chinatown also pop mrt reasonably priced train system stations clean safe trains run pm taxis expensive pm aware food court chinatown good place eat budget clarke quay lots lovely bars restaurants expensive night also vibrant night life take boat trip lovely night,Excellent value hotel in Singapore  My first visit to Singapore and this hotel was very good! It's central location made it easy to get around being close to 2 stations.  Rooms were clean and comfortable with nice tv and bathroom and tea/coffee tray  Staff very helpful and pleasant and breakfast was good/ best to book breakfast with your stay. Little India is very close and Chinatown Also just pop in mrt which is reasonably priced train system. Stations are very clean and safe and trains run until about 11pm.  Taxis are more expensive after 4.30pm do be aware of that. The food court in Chinatown is good place to eat on a budget and Clarke Quay had lots of lovely bars and restaurants which are not too expensive at night there is also vibrant night life there!  You can take a boat trip which was lovely at night -,2017-09-01,PreCovid,2017,excel valu hotel singapor first visit singapor hotel good central locat made easi get around close station room clean comfort nice tv bathroom tea coffe tray staff help pleasant breakfast good best book breakfast stay littl india close chinatown also pop mrt reason price train system station clean safe train run pm taxi expens pm awar food court chinatown good place eat budget clark quay lot love bar restaur expens night also vibrant night life take boat trip love night,excellent value hotel singapore first visit singapore hotel good central location make easy get around close station room clean comfortable nice tv bathroom tea coffee tray staff helpful pleasant breakfast good good book breakfast stay little india close chinatown also pop mrt reasonably price train system station clean safe train run pm taxis expensive pm aware food court chinatown good place eat budget clarke quay lot lovely bar restaurant expensive night also vibrant night life take boat trip lovely night
1175,Vinay K,Pleasant hotel,Nice place to stay close to public transport and Little India. Got upgraded room as our room that we booked was not available. The reception staff were very helpful especially Mr Jamal who was very professional and friendly.,,"Sydney, Australia",2.0,,5.0,True,Positive,pleasant hotel nice place stay close public transport little india got upgraded room room booked available reception staff helpful especially mr jamal professional friendly,Pleasant hotel Nice place to stay close to public transport and Little India. Got upgraded room as our room that we booked was not available. The reception staff were very helpful especially Mr Jamal who was very professional and friendly.,2017-09-01,PreCovid,2017,pleasant hotel nice place stay close public transport littl india got upgrad room room book avail recept staff help especi mr jamal profession friendli,pleasant hotel nice place stay close public transport little india get upgrade room room book available reception staff helpful especially mr jamal professional friendly
1176,Francis S,Holiday 2017,A bad check out expetience will think again to staywe are long tetm clients and were not given tje respect. Which isvery bad for clients.management must look into this Please take note anf respond.ple,,"Lidcombe, Australia",7.0,13.0,3.0,True,Neutral,holiday bad check expetience think staywe long tetm clients given tje respect isvery bad clients management must look please take note anf respond ple,Holiday 2017 A bad check out expetience will think again to staywe are long tetm clients and were not given tje respect. Which isvery bad for clients.management must look into this Please take note anf respond.ple,2017-09-01,PreCovid,2017,holiday bad check expeti think stayw long tetm client given tje respect isveri bad client manag must look pleas take note anf respond ple,holiday bad check expetience think staywe long tetm client give tje respect isvery bad client management must look please take note anf respond ple
1177,Delio Santos H,Cozy ambience,"The hotel is small and situated in a quiet area, but have a subway station nearby. One feels quite cozy when you step into the hotel. The staffs are friendly and helpful! The room has high ceiling, big TV, w/ bath tub, too. A gym and two jacuzzi kind of make-up for the lack of swimming pool Very comfortable stay! Definitely value for money! ",,"Metro Manila, Philippines",1.0,,5.0,True,Positive,cozy ambience hotel small situated quiet area subway station nearby one feels quite cozy step hotel staffs friendly helpful room high ceiling big tv w bath tub gym two jacuzzi kind make lack swimming pool comfortable stay definitely value money,"Cozy ambience The hotel is small and situated in a quiet area, but have a subway station nearby. One feels quite cozy when you step into the hotel. The staffs are friendly and helpful! The room has high ceiling, big TV, w/ bath tub, too. A gym and two jacuzzi kind of make-up for the lack of swimming pool Very comfortable stay! Definitely value for money! ",2017-09-01,PreCovid,2017,cozi ambienc hotel small situat quiet area subway station nearbi one feel quit cozi step hotel staff friendli help room high ceil big tv w bath tub gym two jacuzzi kind make lack swim pool comfort stay definit valu money,cozy ambience hotel small situate quiet area subway station nearby one feel quite cozy step hotel staff friendly helpful room high ceiling big tv w bath tub gym two jacuzzi kind make lack swim pool comfortable stay definitely value money
1178,HadiNasir,Excellent location and service,Great hotel to stay in and wonderful accommodations. Very close to most public transport. The only issue could be that some taxi drivers aren't very aware of where the hotel entrance actually is so it might be best to book a taxi via grab app. ,,,1.0,,5.0,True,Positive,excellent location service great hotel stay wonderful accommodations close public transport issue could taxi drivers aware hotel entrance actually might best book taxi via grab app,Excellent location and service Great hotel to stay in and wonderful accommodations. Very close to most public transport. The only issue could be that some taxi drivers aren't very aware of where the hotel entrance actually is so it might be best to book a taxi via grab app. ,2017-09-01,PreCovid,2017,excel locat servic great hotel stay wonder accommod close public transport issu could taxi driver awar hotel entranc actual might best book taxi via grab app,excellent location service great hotel stay wonderful accommodation close public transport issue could taxi driver aware hotel entrance actually might good book taxi via grab app
1179,946JJ19,One night stopover,"About 30 minutes from the airport, this was a good place to break our journey home to England. Because we'd landed late in the evening, the taxi queue was short and the traffic wasn't too bad. Check-in was done quickly by efficient and helpful staff. The hotel entrance is inviting and the night view from the upper rooms is terrific with all the lights of the city. We enjoyed dinner in the restaurant which was very quiet and the room was also very quiet: thick curtains kept out any traffic noise. The room was small but clean and had everything we wanted. We couldn't sample breakfast as we had to leave at 5.30am but would happily stay here again.",,"Plymouth, United Kingdom",73.0,19.0,4.0,True,Positive,one night stopover minutes airport good place break journey home england landed late evening taxi queue short traffic bad check done quickly efficient helpful staff hotel entrance inviting night view upper rooms terrific lights city enjoyed dinner restaurant quiet room also quiet thick curtains kept traffic noise room small clean everything wanted sample breakfast leave would happily stay,"One night stopover About 30 minutes from the airport, this was a good place to break our journey home to England. Because we'd landed late in the evening, the taxi queue was short and the traffic wasn't too bad. Check-in was done quickly by efficient and helpful staff. The hotel entrance is inviting and the night view from the upper rooms is terrific with all the lights of the city. We enjoyed dinner in the restaurant which was very quiet and the room was also very quiet: thick curtains kept out any traffic noise. The room was small but clean and had everything we wanted. We couldn't sample breakfast as we had to leave at 5.30am but would happily stay here again.",2017-08-01,PreCovid,2017,one night stopov minut airport good place break journey home england land late even taxi queue short traffic bad check done quickli effici help staff hotel entranc invit night view upper room terrif light citi enjoy dinner restaur quiet room also quiet thick curtain kept traffic nois room small clean everyth want sampl breakfast leav would happili stay,one night stopover minute airport good place break journey home england land late evening taxi queue short traffic bad check do quickly efficient helpful staff hotel entrance invite night view upper room terrific light city enjoy dinner restaurant quiet room also quiet thick curtain keep traffic noise room small clean everything want sample breakfast leave would happily stay
1180,Corinne F,"Lovely room, average service and poor breakfast","We only stayed for one night, and would not have wanted to be here longer. Whilst our room was spacious comfortable and reasonably well equipped, the receptionist wanted to charge us for fresh milk to have with tea. Situated in Little India, breakfast is geared up for the Asian market than the Western one. The restaurant is too small for the number of guests, even outside peak hours, and there was not a great choice at the breakfast  buffet. Much of the food was lukewarm. Hardly any fruit. Disappointing.",,"Plymouth, United Kingdom",86.0,59.0,3.0,True,Neutral,lovely room average service poor breakfast stayed one night would wanted longer whilst room spacious comfortable reasonably well equipped receptionist wanted charge us fresh milk tea situated little india breakfast geared asian market western one restaurant small number guests even outside peak hours great choice breakfast buffet much food lukewarm hardly fruit disappointing,"Lovely room, average service and poor breakfast We only stayed for one night, and would not have wanted to be here longer. Whilst our room was spacious comfortable and reasonably well equipped, the receptionist wanted to charge us for fresh milk to have with tea. Situated in Little India, breakfast is geared up for the Asian market than the Western one. The restaurant is too small for the number of guests, even outside peak hours, and there was not a great choice at the breakfast  buffet. Much of the food was lukewarm. Hardly any fruit. Disappointing.",2017-08-01,PreCovid,2017,love room averag servic poor breakfast stay one night would want longer whilst room spaciou comfort reason well equip receptionist want charg us fresh milk tea situat littl india breakfast gear asian market western one restaur small number guest even outsid peak hour great choic breakfast buffet much food lukewarm hardli fruit disappoint,lovely room average service poor breakfast stay one night would want long whilst room spacious comfortable reasonably well equip receptionist want charge we fresh milk tea situate little india breakfast gear asian market western one restaurant small number guest even outside peak hour great choice breakfast buffet much food lukewarm hardly fruit disappoint
1181,Veena1969,BEAUTIFUL SINGAPORE HOTEL ACCOMODATION,"Village hotel albert court is excellent  property strategically located near little india, mustafa and at prime place . Indian restaurants are nearby at walking distace. Bujis is also nearby. worth the money.",,"Mumbai, India",35.0,1.0,4.0,True,Positive,beautiful singapore hotel accomodation village hotel albert court excellent property strategically located near little india mustafa prime place indian restaurants nearby walking distace bujis also nearby worth money,"BEAUTIFUL SINGAPORE HOTEL ACCOMODATION Village hotel albert court is excellent  property strategically located near little india, mustafa and at prime place . Indian restaurants are nearby at walking distace. Bujis is also nearby. worth the money.",2017-09-01,PreCovid,2017,beauti singapor hotel accomod villag hotel albert court excel properti strateg locat near littl india mustafa prime place indian restaur nearbi walk distac buji also nearbi worth money,beautiful singapore hotel accomodation village hotel albert court excellent property strategically locate near little india mustafa prime place indian restaurant nearby walk distace buji also nearby worth money
1182,rtcciab,Felt totally unwelcomed,No smiles no greetings. That will be all i tell my friends about Albert Court Village. We felt like we were begging for a room but we paid for it. Moody reception people. Even manager ( we assume she is becsuse not wearing uniform ) seemed to busy for het guests. Disappointed stay and will never return. ,,,3.0,,1.0,True,Negative,felt totally unwelcomed smiles greetings tell friends albert court village felt like begging room paid moody reception people even manager assume becsuse wearing uniform seemed busy het guests disappointed stay never return,Felt totally unwelcomed No smiles no greetings. That will be all i tell my friends about Albert Court Village. We felt like we were begging for a room but we paid for it. Moody reception people. Even manager ( we assume she is becsuse not wearing uniform ) seemed to busy for het guests. Disappointed stay and will never return. ,2017-09-01,PreCovid,2017,felt total unwelcom smile greet tell friend albert court villag felt like beg room paid moodi recept peopl even manag assum becsus wear uniform seem busi het guest disappoint stay never return,feel totally unwelcomed smile greeting tell friend albert court village feel like beg room pay moody reception people even manager assume becsuse wear uniform seem busy het guest disappoint stay never return
